index,elelment,x,y,z
1,O,0.719,1.752,11.602
2,H,0.638,1.803,11.612
3,H,0.788,1.817,11.597
4,O,2.072,4.909,9.412
5,H,2.132,4.95,9.35
6,H,1.988,4.951,9.395
7,O,2.208,6.37,6.634
8,H,2.142,6.314,6.595
9,H,2.161,6.421,6.7
10,O,5.365,6.042,5.979
11,H,5.304,6.054,6.051
12,H,5.362,5.948,5.96
13,O,6.887,5.547,5.716
14,H,6.864,5.639,5.702
15,H,6.928,5.546,5.803
16,O,5.931,2.198,7.127
17,H,5.91,2.29,7.145
18,H,5.88,2.176,7.049
19,O,5.306,1.088,7.899
20,H,5.267,1.159,7.949
21,H,5.262,1.092,7.814
22,O,7.806,2.6,7.082
23,H,7.725,2.549,7.086
24,H,7.779,2.689,7.104
25,O,4.334,3.317,7.473
26,H,4.272,3.271,7.53
27,H,4.409,3.258,7.467
28,O,4.49,5.525,8.556
29,H,4.425,5.469,8.6
30,H,4.44,5.573,8.49
31,O,3.062,5.782,7.446
32,H,3.099,5.789,7.358
33,H,3.071,5.87,7.484
34,O,4.557,2.018,9.029
35,H,4.461,2.015,9.029
36,H,4.584,1.937,8.985
37,O,7.487,5.757,8.362
38,H,7.507,5.777,8.27
39,H,7.504,5.663,8.369
40,O,7.459,4.484,7.603
41,H,7.466,4.579,7.593
42,H,7.451,4.451,7.514
43,O,3.133,3.584,9.259
44,H,3.2,3.533,9.213
45,H,3.096,3.522,9.323
46,O,7.122,6.242,7.68
47,H,7.163,6.329,7.673
48,H,7.097,6.22,7.591
49,O,0.72,1.391,5.979
50,H,0.805,1.378,5.936
51,H,0.718,1.484,5.999
52,O,0.033,1.268,10.979
53,H,-0.043,1.246,10.924
54,H,0.02,1.217,11.058
55,O,2.124,4.858,11.502
56,H,2.071,4.898,11.571
57,H,2.196,4.815,11.548
58,O,4.097,6.29,10.004
59,H,4.147,6.344,9.944
60,H,4.163,6.242,10.055
61,O,3.821,3.472,6.004
62,H,3.797,3.382,5.986
63,H,3.841,3.473,6.097
64,O,3.178,5.837,11.248
65,H,3.094,5.863,11.286
66,H,3.196,5.902,11.18
67,O,7.401,5.486,11.26
68,H,7.445,5.553,11.208
69,H,7.376,5.531,11.341
